SOC2000	UKEMPST	STDEMPST	MCAMSIS	FCAMSIS	NS_SEC	OPERCAT	RNS_SEC	ROPERCAT	RGSC	SEG	NREMPST
523	4	-3	49.9	48.74	-999	-999	-999	-999	-999	-999	-999
523	5	-4	49.9	48.74	-999	-999	-999	-999	-999	-999	-999
523	6	-5	43.6	48.66	-999	-999	-999	-999	-999	-999	-999
523	7	-6	40.62	47.14	-999	-999	-999	-999	-999	-999	-999
524	-3	2	49.21	49.12	-999	-999	-999	-999	-999	-999	-999
524	-2	4	57.49	45.25	-999	-999	-999	-999	-999	-999	-999
524	-1	6	46.63	45.72	-999	-999	-999	-999	-999	-999	-999
524	0	0	47.19	45.83	-999	-999	-999	-999	-999	-999	-999
524	1	-1	57.51	45.22	-999	-999	-999	-999	-999	-999	-999
524	2	-2	57.48	45.25	-999	-999	-999	-999	-999	-999	-999
524	3	3	47.42	49.51	-999	-999	-999	-999	-999	-999	-999
524	4	-3	56.09	44.11	-999	-999	-999	-999	-999	-999	-999
524	5	-4	56.09	44.11	-999	-999	-999	-999	-999	-999	-999
524	6	-5	45.89	44.57	-999	-999	-999	-999	-999	-999	-999
524	7	-6	46.68	45.75	-999	-999	-999	-999	-999	-999	-999
531	-3	2	44.21	44.09	-999	-999	-999	-999	-999	-999	-999
531	-2	4	48.21	42.73	-999	-999	-999	-999	-999	-999	-999
531	-1	6	34.34	40.31	-999	-999	-999	-999	-999	-999	-999
531	0	0	38.38	41.37	-999	-999	-999	-999	-999	-999	-999
531	1	-1	48.24	40.61	-999	-999	-999	-999	-999	-999	-999
531	2	-2	48.18	42.73	-999	-999	-999	-999	-999	-999	-999
531	3	3	43.52	44.87	-999	-999	-999	-999	-999	-999	-999
531	4	-3	45.81	40.92	-999	-999	-999	-999	-999	-999	-999
531	5	-4	45.81	40.92	-999	-999	-999	-999	-999	-999	-999
531	6	-5	36.68	40.83	-999	-999	-999	-999	-999	-999	-999
