OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS
229	22	9	68.2	58.3	68.1	58.7
232	23	2	62.9	72.6	63	65.6
234	23	4	62.9	72.6	63.7	62.6
239	23	9	62.9	72.6	63	65.6
292	29	2	71.3	72.8	95.5	86.5
294	29	4	71.3	72.8	81.4	62.6
299	29	9	97.5	86.3	71.2	73.3
302	30	2	67.2	79.2	67	78.1
304	30	4	67.2	79.2	82.9	89.7
309	30	9	67.2	79.2	67.3	78.1
312	31	2	76.7	89.9	80.1	88.7
314	31	4	76.7	89.9	91.8	99
319	31	9	76.7	89.9	80.6	89
322	32	2	62.1	83.5	65.4	82.2
324	32	4	62.1	83.5	78.1	89.7
329	32	9	62.1	83.5	65.7	82.3
332	33	2	58.4	72.9	59.3	72.1
334	33	4	58.4	72.9	55.1	81.2
339	33	9	58.4	72.9	59.3	72.2
342	34	2	59.2	72.4	61.3	71.5
344	34	4	59.2	72.4	65	78
349	34	9	59.2	72.4	61.4	71.7
352	35	2	48.5	73.1	48.5	74.9
354	35	4	48.5	73.1	50.6	73.6
359	35	9	48.5	73.1	48.6	74.9
362	36	2	56	60.6	56	60.3
364	36	4	56	60.6	63.6	72.9
369	36	9	56	60.6	56	60.4
372	37	2	61.7	70.8	60.8	69.6
374	37	4	61.7	70.8	74.2	88.4
379	37	9	61.7	70.8	61.7	70.2
392	39	2	53.5	58.8	54.8	59.4
394	39	4	53.5	58.8	63.6	62.9
